MEP,group_abbv,country,Industry-31,Industry-32,Industry-33,Industry-34,Industry-35,Industry-36,Industry-37,Industry-38,Industry-39,Industry-40,Industry-41,Industry-42,Industry-43,Industry-44,Industry-45,Industry-46,"Paragraph 1, amendment 5","Paragraph 3, amendment 6",Paragraph 6/1,Paragraph 6/2,"Paragraph 16, indent 5, amendment 7",Paragraph 18,Paragraph 19,Paragraph 20,"Paragraph 24, amendment 8","Paragraph 27, amendment 9","Paragraph 29, amendment 10",Paragraph 52/1,Paragraph 52/2,Paragraph 69/1,Paragraph 69/2,"Paragraph 73, intro, amendment 11","Paragraph 73, indent 1, amendment 12","Paragraph 73, indent 3, amendment 13","Paragraph 73, indent 3, amendment 4","Paragraph 73, indent 4/1","Paragraph 73, indent 4/2","Paragraph 73, indent 5, amendment 15","Paragraph 73, after indent 5, amendment 24","Paragraph 74, intro, amendment 16","Paragraph 74, indent 1, amendment 17","Paragraph 74, indent 3, amendment 18","Paragraph 74, after indent 3, amendment 25","Paragraph 75, amendment 19",Paragraph 75/1,Paragraph 75/2,"Paragraph 76, amendment 20","Paragraph 77, amendment 21","Paragraph 78, amendment 22","Paragraph 80, amendment 23",Citation 3/1,Citation 3/2,"After citation 4, amendment 1","Recital G, amendment 2",Recital J/1,Recital J/2,Recital J/3,"Recital V, amendment 3","Recital AE, amendment 4",vote: resolution (as a whole)
Peter Van Dalen,EPP,Netherlands,For,For,For,For,For,Against,For,Against,For,For,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Abstain
Petra Kammerevert,S&D,Germany,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Petras Austrevicius,REG,Lithuania,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Abstain,For,For,For,Against,For,Against,For,For,For,For,For,Against,Abstain,Abstain,For,For,For,For,Abstain,Abstain,Abstain,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Petri Sarvamaa,EPP,Finland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Petros Kokkalis,The Left,Greece,Against,For,For,For,Against,For,Against,For,Against,For,For,For,For,Abstain,For,Against,Against,Against,For,For,Against,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Against,For,For,Against,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Philippe Lamberts,Greens/EFA,Belgium,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Philippe Olivier,IDG,France,For,Against,For,For,For,Against,For,Against,For,Against,For,Against,Against,For,For,For,Abstain,Abstain,Abstain,Against,For,For,For,For,Abstain,For,For,For,Against,For,Abstain,For,Abstain,Abstain,Against,Against,Abstain,Against,Against,Against,Against,For,Against,Abstain,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,For,For,For,For,Abstain,Abstain,For,Against
Pierfrancesco Majorino,S&D,Italy,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Piernicola Pedicini,Greens/EFA,Italy,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Pierre Karleskind,REG,France,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,For,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,For,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,Abstain,Against,For
Pierre Larrouturou,S&D,France,For,For,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Pierrette Herzberger Fofana,Greens/EFA,Germany,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Pietro Bartolo,S&D,Italy,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Pietro Fiocchi,ECR,Italy,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,Against,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Pilar Del Castillo Vera,EPP,Spain,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Pina Picierno,S&D,Italy,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Predrag Fred Matic,S&D,Croatia,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Radan Kanev,EPP,Bulgaria,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,Against,For,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Radka Maxova,S&D,Czech Republic,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Radoslaw Sikorski,EPP,Poland,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Raffaele Fitto,ECR,Italy,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,Against,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Raffaele Stancanelli,ECR,Italy,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,Against,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Rainer Wieland,EPP,Germany,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Didn't vote,Against
Ralf Seekatz,EPP,Germany,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Ramona Strugariu,REG,Romania,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,Abstain,Against,For,For,Against,For,Against,Against,For,For,For,For,For,For,For,For,Against,For
Raphael Glucksmann,S&D,France,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Rasa Jukneviciene,EPP,Lithuania,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Against,For,For,For,Against,For,For,For,Against
Rasmus Andresen,Greens/EFA,Germany,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Reinhard Butikofer,Greens/EFA,Germany,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Riho Terras,EPP,Estonia,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,Abstain,For,For,For,Against,For,For,For,Against
Rob Rooken,ECR,Netherlands,Abstain,For,For,For,Abstain,Against,Abstain,Against,Against,Abstain,Against,Abstain,Against,For,Against,Abstain,Abstain,Against,Against,Abstain,Abstain,Against,Against,Against,Abstain,Against,For,Against,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,Against,Against,Against,Abstain,For,For,Against,Abstain,Against,Against,Abstain,Abstain,Abstain,Abstain,Against,Against,Against,Abstain,Abstain,Against,Against,Against,For,Against
Robert Biedron,S&D,Poland,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Robert Hajsel,S&D,Slovakia,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,For,For,For,For,Against,For,Abstain,For,For,Abstain,Abstain,For,For,For,For,For,Abstain,For,For,For,Against,For,Didn't vote,For,For,Abstain,For,For,For,Against,For,For,For,For,For,For,For,Against,Against,Didn't vote
Robert Roos,ECR,Netherlands,Abstain,For,For,For,Abstain,Against,Abstain,Against,Against,Abstain,Against,Abstain,Against,For,Against,Abstain,Abstain,Against,Against,Abstain,Abstain,Against,Against,Against,Abstain,Against,For,Against,Against,Against,Against,Abstain,Against,Abstain,Abstain,Against,Against,Against,Against,Abstain,For,For,Against,Abstain,Against,Against,Abstain,Abstain,Abstain,Abstain,Against,Against,Against,Abstain,Abstain,Against,Against,Against,For,Against
Roberta Metsola,EPP,Malta,For,For,For,For,For,Against,For,For,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,For,For,For,For,Against
Roberts Zile,ECR,Latvia,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,Against,For,For,For,Against,Abstain,For,Against,For,Abstain,For,For,Against,For,For,Against,Against,Against,Against,For,For,For,For,Against,Against,For,Against,For,For,For,Against,For,Against,For,For,Against,For,Against,For,Against,Against,For,For,For,For,For,For,Against
Roman Haider,IDG,Austria,Against,Against,For,For,For,Against,For,Abstain,For,Against,Abstain,Against,Against,For,For,Against,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Against,Against,Against,For,For,Against,Against,Against,Against,Against,Against,For,For,For,Against,Against,Against,Against,Abstain,Against,Against,For,Against,Against,Against,Abstain,Against,Against,Against,Against,Against,Against
Romana Jerkovic,S&D,Croatia,For,For,For,For,For,Against,For,Against,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,Against,Against,Against,For,For,For,Against,For,For,For,Against,Against,For
Romana Tomc,EPP,Slovenia,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
Romeo Franz,Greens/EFA,Germany,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,For,For,For,For,Against,For,For,For,Against,Against,Abstain
Rosa D Amato,Greens/EFA,Italy,For,For,Against,Against,Against,For,Against,For,For,For,For,For,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,Against,For,Against,For,For,For,For,For,Against,Against,Against,For,For,For,For,Against,Against,Against,For,Against,For,For,Against,For,Against,Against,For,For,For,Against,For,For,For,Against,Against,Abstain
Rosa Estaras Ferragut,EPP,Spain,For,For,For,For,For,Against,For,Against,For,Against,Against,Against,For,For,Against,For,For,For,For,Against,For,Against,Against,Against,For,For,For,For,Abstain,For,Against,For,For,For,For,For,Against,For,Against,For,For,For,Against,For,For,Against,For,For,For,For,For,For,For,For,For,Against,For,For,For,Against
